mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
51.12,-18.09,19.34,-62.62,-4.64,-36.01,1.16,-0.27,-0.45,walking
49.65,-10.61,22.64,-53.16,22.4,-64.7,1.05,0.19,-0.33,walking
48.46,-6.04,23.45,-32.04,18.19,-50.78,0.95,0.18,-0.26,walking
47.69,-2.61,22.39,-37.72,10.99,-4.15,0.82,0.3,-0.3,walking
46.92,-2.09,24.8,3.17,-2.32,14.34,1.03,0.07,-0.43,walking
47.77,-3.33,22.9,21.73,-5.92,40.95,0.88,-0.01,-0.43,walking
47.84,-6.99,24.28,62.5,-14.59,38.57,1,-0.1,-0.45,walking
49.44,-14.88,21.31,48.46,-25.33,49.56,0.91,-0.05,-0.51,walking
50.38,-18.85,20.56,18.8,-18.98,58.11,0.84,-0.06,-0.41,walking
49.76,-21.56,20,6.84,-6.1,20.51,0.85,-0.09,-0.37,walking
49.68,-21.7,18.27,-32.65,-5.13,1.83,0.89,-0.17,-0.41,walking
49.65,-18.97,19.35,-37.84,-6.16,-17.52,0.84,-0.09,-0.32,walking
49.72,-13.82,22.73,-45.65,1.28,-31.92,1.1,0.06,-0.39,walking
49.57,-10.22,21.46,-13.37,15.08,-35.22,0.87,0.14,-0.23,walking
49.18,-8.41,22.79,-9.22,12.76,-36.19,0.85,0.14,-0.25,walking
48.6,-6.75,23.14,11.11,15.14,-10.99,0.92,0.25,-0.37,walking
47.07,-7.37,23.56,15.32,0.73,22.22,1.04,0.16,-0.39,walking
48,-11.01,24.98,30.82,4.21,34.67,0.93,0.11,-0.47,walking
47.95,-15.32,22.58,44.37,-14.47,27.59,0.99,0.04,-0.55,walking
49.19,-18.59,20.7,33.45,-14.47,31.37,0.79,-0.05,-0.41,walking
49.02,-21.87,19.64,16.48,-9.58,11.29,0.74,-0.06,-0.41,walking
49.22,-21.97,18.54,-14.77,-4.03,-7.69,0.94,-0.13,-0.49,walking
49.38,-17.66,19.87,-49.99,6.04,-30.82,0.82,0.03,-0.38,walking
50.02,-15.43,20.67,-37.11,-1.46,-9.95,0.97,-0.1,-0.38,walking
49.43,-12.4,22.36,-32.59,2.93,-14.34,0.98,0.12,-0.29,walking
48.6,-10.55,23.32,-4.64,4.46,-21.91,0.84,0.13,-0.25,walking
48.84,-9.18,23.47,-19.47,2.26,4.82,0.76,0.22,-0.3,walking
47.72,-9.31,23.54,24.72,6.9,-6.59,1.12,0.1,-0.43,walking
48.45,-9.91,24.35,2.81,4.64,37.72,0.83,0.19,-0.39,walking
48.17,-13.6,22.74,71.78,-0.06,-1.16,1.06,0.02,-0.43,walking
48.74,-16.89,21.52,34.18,-12.33,18.13,0.89,-0.02,-0.48,walking
49.65,-19.42,19.23,3.97,-10.93,22.71,0.76,-0.06,-0.43,walking
49.98,-20.45,19.96,1.95,-7.14,-4.7,0.86,-0.07,-0.44,walking
49.58,-19.09,19.25,-28.38,0.85,-17.94,0.96,-0.07,-0.48,walking
50.01,-15.95,21.18,-31.92,-0.31,-7.69,0.77,0.11,-0.24,walking
49.68,-14.44,21.86,-45.53,2.2,0.37,1.05,0.03,-0.4,walking
49.76,-12.45,21.95,-0.12,4.03,-25.39,0.86,0.11,-0.25,walking
48.93,-10.58,23.54,-12.15,23.13,-18.13,0.89,0.18,-0.22,walking
48.12,-9.94,24.19,-1.1,4.88,9.28,0.88,0.24,-0.33,walking
47.42,-11.01,23.28,10.31,-4.15,12.21,1.11,0.09,-0.42,walking
47.42,-11.71,22.92,7.93,5.68,34,0.77,0.17,-0.37,walking
47.71,-15.01,22.02,75.13,-18.55,-4.03,1.05,0.06,-0.43,walking
49.49,-18.62,20.7,10.74,-24.66,53.96,0.87,0.1,-0.36,walking
48.54,-23.17,17.99,14.4,-20.08,51.64,0.79,0.06,-0.39,walking
48.6,-25.81,16.82,4.82,-4.94,-13.24,0.88,-0.04,-0.43,walking
48.77,-23.16,18.8,-33.26,-1.53,-28.02,0.91,-0.06,-0.41,walking
49.45,-19.3,20.1,-39.67,10.56,-31.74,0.89,0.04,-0.3,walking
49.06,-12.71,22.74,-54.87,8.3,-38.7,1.06,0.13,-0.39,walking
48.72,-10.05,22.25,-3.42,14.1,-41.08,0.87,0.23,-0.21,walking
47.88,-7.92,23.34,-12.76,9.22,-24.05,0.81,0.31,-0.21,walking
46.94,-7.17,24.73,9.4,-2.69,13.37,1.11,0.24,-0.41,walking
