mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
41.85,4.36,-47.75,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.24,4.37,-46.98,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.48,4.50,-47.19,-0.61,0.12,0.49,-0.04,-0.03,1.00,idle
42.05,4.65,-47.22,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
41.48,4.54,-46.39,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
41.87,4.41,-47.61,-0.55,-0.12,0.31,-0.04,-0.03,1.00,idle
42.27,4.47,-46.77,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.16,4.58,-47.12,-0.73,-0.18,0.55,-0.04,-0.03,1.00,idle
42.27,4.26,-47.31,-0.85,-0.06,0.43,-0.04,-0.03,1.00,idle
42.60,4.48,-45.98,-0.61,0.00,0.37,-0.04,-0.03,1.00,idle
42.32,4.71,-46.68,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
41.71,4.72,-47.12,-0.61,0.00,0.31,-0.04,-0.03,1.00,idle
42.31,4.75,-46.48,-0.79,-0.06,0.31,-0.04,-0.03,1.00,idle
42.00,4.48,-46.67,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.58,5.02,-47.53,-0.73,0.00,0.31,-0.04,-0.03,1.00,idle
42.19,4.63,-48.50,-0.67,-0.06,0.31,-0.04,-0.04,1.00,idle
41.87,4.94,-46.96,-0.92,0.06,0.43,-0.04,-0.03,1.00,idle
42.11,4.86,-47.36,-0.73,-0.06,0.24,-0.04,-0.03,1.00,idle
42.47,4.14,-46.75,-0.92,-0.12,0.31,-0.04,-0.03,1.00,idle
42.27,4.60,-47.97,-0.85,-0.06,0.43,-0.04,-0.03,1.00,idle
41.77,4.22,-47.25,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.21,4.85,-47.06,-0.61,0.12,0.43,-0.04,-0.03,1.00,idle
42.24,4.72,-46.04,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
42.71,4.81,-47.83,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
42.03,4.63,-46.39,-0.85,-0.12,0.43,-0.04,-0.03,1.00,idle
42.04,4.27,-47.57,-0.61,0.06,0.24,-0.04,-0.03,1.00,idle
