mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
50.88,-17.21,19.32,29.97,-14.53,53.34,1.05,0.39,-0.22,0
41.74,4.82,-46.86,-0.85,-0.06,0.37,-0.04,-0.03,1.0,3
62.07,-18.8,9.78,59.94,-8.48,-23.5,0.6,0.79,-0.4,2
49.58,-32.57,6.57,38.94,-53.59,78.67,0.86,-0.22,-0.26,0
50.51,-14.98,22.22,-45.04,35.03,-45.04,1.0,0.11,-0.2,0
27.69,-37.45,-2.65,-14.65,-4.76,-84.96,-0.42,0.61,0.2,2
49.93,-12.19,27.25,5.43,104.74,29.24,0.26,0.3,-1.16,2
50.49,-32.54,10.38,-26.92,33.63,89.17,-0.93,0.32,-0.15,1
48.17,-13.6,22.74,71.78,-0.06,-1.16,1.06,0.02,-0.43,0
42.13,5.07,-46.3,-0.85,0.0,0.55,-0.04,-0.03,1.0,3
42.2,4.82,-47.84,-0.79,0.0,0.37,-0.04,-0.03,1.0,3
3.12,-16.58,21.04,-0.31,-77.33,-10.44,-0.81,0.25,-0.12,2
52.76,-27.06,13.83,-82.46,20.63,-76.84,1.03,0.09,-0.58,0
42.75,4.96,-47.12,-0.61,0.0,0.55,-0.04,-0.03,1.0,3
41.97,4.36,-47.47,-0.79,0.0,0.49,-0.04,-0.03,1.0,3
39.42,-36.29,-3.78,16.24,-5.68,93.51,-0.21,0.76,0.23,2
50.2,-13.12,21.24,-1.95,24.6,-13.98,0.77,0.44,-0.14,0
42.76,4.7,-48.47,-0.85,-0.06,0.31,-0.04,-0.03,1.0,3
19.85,-37.21,-5.19,-18.55,-8.3,-78.06,-0.56,0.39,0.28,2
40.93,-15.8,32.91,-16.91,-114.93,-36.25,0.01,0.44,-1.11,2
50.28,-30.8,11.47,69.34,4.15,-56.64,-0.5,0.6,0.29,1
49.93,-18.91,21.45,52.73,-14.1,60.42,0.99,0.09,-0.45,0
8.34,-28.91,15.93,-15.26,-30.21,-5.62,-0.76,0.41,0.08,2
50.81,-18.96,21.14,32.41,-44.25,59.51,0.87,-0.24,-0.42,0
50.18,-30.11,11.44,-8.97,-4.33,17.58,0.68,-0.04,-0.3,0
51.09,-31.09,7.42,-21.06,-23.01,-15.44,-0.74,0.41,0.08,1
42.02,4.37,-47.84,-0.61,0.06,0.37,-0.04,-0.03,1.0,3
54.24,-27.53,10.83,-223.21,111.76,-372.8,0.34,0.99,0.67,1
28.96,-38.18,-2.55,-13.06,20.57,-140.2,3.72,4.0,0.42,1
43.08,-20.51,31.52,-35.34,-73.43,-26.98,-0.07,0.56,-0.94,2
19.12,-36.6,-5.16,23.86,4.58,69.64,-0.62,0.32,0.28,2
14.87,-28.87,20.85,-18.49,-70.68,-4.82,-0.81,0.57,-0.26,2
42.07,4.65,-47.12,-0.61,0.0,0.55,-0.04,-0.03,1.0,3
43.58,-35.68,11.32,5.25,-3.05,207.64,2.0,0.68,-0.61,1
50.9,-13.43,21.75,-10.5,20.81,-44.37,0.82,0.27,-0.18,0
47.3,-33.53,9.78,98.51,-13.55,150.27,2.13,0.81,-0.34,1
53.2,-24.07,14.26,44.68,-57.19,84.11,0.9,-0.22,-0.39,0
39.71,-37.02,6.75,40.65,9.52,178.22,0.94,0.58,-0.42,1
48.94,-13.99,22.91,-29.72,42.11,-60.67,1.07,0.2,-0.23,0
42.31,4.61,-46.81,-0.67,0.0,0.31,-0.04,-0.03,1.0,3
